대단원,중단원,문제,①,②,③,④,⑤,정답,문항 형식,Main/Sub,동아,미래엔,비상,지학사,천재,출제 수준,선지 개수,학습 개념 해설
물질의 규칙성과 성질,물질의 전기적 성질,다음 중 집적 회로가 무엇인지 설명한 것으로 가장 적절한 것은?,"트랜지스터, 다이오드, 저항 등을 정밀하게 하나의 칩으로 만든 것",p와 n 반도체를 결합하여 제작한 것,순수한 반도체에 불순물을 넣어 전기적 성질을 변화시킨 것,전기 저항이 높아 전류가 잘 흐르지 않는 것,,①,서술형,SUB,FALSE,FALSE,TRUE,FALSE,TRUE,개념 호출,4,"트랜지스터나 다이오드, 저항 등을 하나의 칩으로 정밀하게 만들어 부착한 것을 집적 회로라고 한다. "
물질의 규칙성과 성질,물질의 전기적 성질,"집적 회로에서는 회로 사이 거리가 짧아 (       ).
빈칸에 들어갈 말로 적절한 것은?",약한 전류를 증폭시킬 수 있다.,신호를 빠르게 전달할 수 있다.,온도가 높다.,에너지가 많이 소비된다.,교류를 직류로 바꾼다.,②,서술형,SUB,FALSE,FALSE,TRUE,FALSE,TRUE,개념 호출,5,집적 회로는 회로 사이의 거리가 짧아 신호를 빠르게 전달할 수 있다.
물질의 규칙성과 성질,물질의 전기적 성질,집적 회로가 신호를 빠르게 전달할 수 있는 이유는 회로 사이의 거리가 길기 때문이다. (O / X),O,X,,,,②,OX형,SUB,FALSE,FALSE,TRUE,FALSE,TRUE,개념 변형,2,집적 회로는 회로 사이의 거리가 짧아 신호를 빠르게 전달할 수 있다.
물질의 규칙성과 성질,물질의 전기적 성질,집적 회로는 데이터 처리와 저장에 용이하게 사용된다. (O / X),O,X,,,,①,OX형,SUB,FALSE,FALSE,TRUE,FALSE,FALSE,개념 호출,2,집적회로는 데이터를 처리하거나 저장하는 디지털 기기에 이용된다.
물질의 규칙성과 성질,물질의 전기적 성질,집적 회로는 데이터 처리와 저장에 용이하기 때문에 디지털 기기에 이용된다. (O / X),O,X,,,,①,OX형,SUB,FALSE,FALSE,TRUE,FALSE,FALSE,개념 호출,2,집적회로는 데이터를 처리하거나 저장하는 디지털 기기에 이용된다.
물질의 규칙성과 성질,물질의 전기적 성질,탄소와 같은 유기 물질의 전기적 성질을 변화시켜 만든 반도체 소재를 무엇이라고 하는가?,퓨즈,유기 발광 다이오드,무기 다이오드,유기 흡광 다이오드,집적 회로,②,단답형,SUB,FALSE,FALSE,FALSE,FALSE,TRUE,개념 호출,5,탄소와 같은 유기 물질의 전기적 성질을 변화시켜 만든 반도체 소재를 유기 발광 다이오드(OLED)라고 한다.
물질의 규칙성과 성질,물질의 전기적 성질,유기 발광 다이오드는 (  )와/과 같은 유기 물질의 전기적 성질을 변화시켜서 만든 반도체 소재이다. 빈칸에 들어갈 말로 적절한 것은?,규소,수소,탄소,철,,③,단답형,SUB,FALSE,FALSE,FALSE,FALSE,TRUE,개념 변형,4,탄소와 같은 유기 물질의 전기적 성질을 변화시켜 만든 반도체 소재를 유기 발광 다이오드(OLED)라고 한다.
물질의 규칙성과 성질,물질의 전기적 성질,유기 발광 다이오드는 유기 물질의 어떤 성질을 변화시켜서 만드는 소재인가?,화학적 성질,전기적 성질,반응 속도,온도 저항력,,②,단답형,SUB,FALSE,FALSE,FALSE,FALSE,TRUE,개념 변형,4,탄소와 같은 유기 물질의 전기적 성질을 변화시켜 만든 반도체 소재를 유기 발광 다이오드(OLED)라고 한다.
물질의 규칙성과 성질,물질의 전기적 성질,OLED는 비교적 얇게 만들기 어렵다. (O / X),O,X,,,,②,OX형,SUB,FALSE,FALSE,TRUE,FALSE,TRUE,개념 변형,2,OLED는 스스로 빛을 내기 때문에 얇고 가볍게 만들 수 있다.
물질의 규칙성과 성질,물질의 전기적 성질,OLED는 스스로 빛을 내며 얇고 가볍게 만들기 용이하다. (O / X),O,X,,,,①,OX형,SUB,FALSE,FALSE,TRUE,FALSE,TRUE,개념 변형,2,OLED는 스스로 빛을 내기 때문에 얇고 가볍게 만들 수 있다.
물질의 규칙성과 성질,물질의 전기적 성질,OLED는 정해진 형태 그대로 활용하여야 하기 때문에 제약이 크다. (O / X),O,X,,,,②,OX형,SUB,FALSE,FALSE,FALSE,FALSE,TRUE,개념 변형,2,OLED는 변형이 자유롭다.
물질의 규칙성과 성질,물질의 전기적 성질,OLED는 변형이 자유롭다. (O / X),O,X,,,,①,OX형,SUB,FALSE,FALSE,FALSE,FALSE,TRUE,개념 호출,2,OLED는 변형이 자유롭다.
물질의 규칙성과 성질,물질의 전기적 성질,휘어지는 디스플레이는 LED로 제작한다. (O / X),O,X,,,,②,OX형,SUB,FALSE,FALSE,TRUE,FALSE,TRUE,개념 변형,2,OLED는 휘어지는 모니터 등과 같이 다양한 디스플레이로 개발된다.
물질의 규칙성과 성질,물질의 전기적 성질,OLED로 제작한 디스플레이는 휘어질 수 있다. (O / X),O,X,,,,①,OX형,SUB,FALSE,FALSE,TRUE,FALSE,TRUE,개념 변형,2,OLED는 휘어지는 모니터 등과 같이 다양한 디스플레이로 개발된다.
물질의 규칙성과 성질,물질의 전기적 성질,마이크로프로세서는 컴퓨터의 중앙 처리 장치를 의미한다. (O / X),O,X,,,,①,OX형,SUB,FALSE,FALSE,TRUE,FALSE,FALSE,개념 호출,2,"마이크로프로세서는 컴퓨터의 중앙 처리 장치로 제어 장치, 연산 장치, 저항을 하나로 집적한 회로이다."
물질의 규칙성과 성질,물질의 전기적 성질,"컴퓨터의 중앙 처리 장치로 제어 장치, 연산장치, 저항을 하나로 집적한 회로를 무엇이라고 하는가?",다이오드,트랜지스터,마이크로프로세서,그래픽 카드,USB,③,단답형,SUB,FALSE,FALSE,TRUE,FALSE,FALSE,개념 변형,5,"마이크로프로세서는 컴퓨터의 중앙 처리 장치로 제어 장치, 연산 장치, 저항을 하나로 집적한 회로이다."
물질의 규칙성과 성질,물질의 전기적 성질,"마이크로컨트롤러(MCU)는 마이크로프로세서, 메모리, 입출력 장치 등을 하나의 칩으로 만들어 정해진 기능을 수행하는 일종의 (   )이다. 빈칸에 들어갈 말로 적절한 것은?",저장 장치,컴퓨터,인공 지능,충전지,,②,단답형,SUB,FALSE,FALSE,TRUE,FALSE,FALSE,개념 호출,4,"마이크로컨트롤러(MCU)는 마이크로프로세서, 메모리, 입출력 장치 등을 하나의 칩으로 만들어 정해진 기능을 수행하는 컴퓨터이다."
물질의 규칙성과 성질,물질의 전기적 성질,"컴퓨터의 일종으로, 마이크로프로세서, 메모리, 입출력 장치 등이 하나의 칩으로 만들어진 것을 무엇이라고 부르는가?",마이크로 집적회로,트랜지스터,슈퍼컴퓨터,마이크로컨트롤러,,④,단답형,SUB,FALSE,FALSE,TRUE,FALSE,FALSE,개념 변형,4,"마이크로컨트롤러(MCU)는 마이크로프로세서, 메모리, 입출력 장치 등을 하나의 칩으로 만들어 정해진 기능을 수행하는 컴퓨터이다."
물질의 규칙성과 성질,물질의 전기적 성질,마이크로컨트롤러를 구성하는 반도체 소자의 예시로 적절하지 않은 것은?,다이오드,발광 다이오드,구리 전선,마이크로프로세서,,③,단답형,SUB,FALSE,FALSE,TRUE,FALSE,FALSE,개념 호출,4,"마이크로컨트롤러를 구성하는 반도체 소자의 예시로는 트랜지스터, 다이오드, 발광 다이오드, 마이크로프로세서 등이 있다."
물질의 규칙성과 성질,물질의 전기적 성질,마이크로 컨트롤러는 마이크로프로세서로만 구성되어 있다. (O / X),O,X,,,,②,OX형,SUB,FALSE,FALSE,TRUE,FALSE,FALSE,개념 변형,2,"마이크로컨트롤러를 구성하는 반도체 소자의 예시로는 트랜지스터, 다이오드, 발광 다이오드, 마이크로프로세서 등이 있다."
,,,,,,,,,,,,,,,,,0,#REF!
물질의 규칙성과 성질,물질의 전기적 성질,"반도체 소자는 스마트폰, 컴퓨터 등의 전자 제품 속에서 전원을 담당하는 단순한 기능을 맡는다. (O / X)",O,X,,,,②,OX형,SUB,FALSE,FALSE,TRUE,FALSE,TRUE,개념 변형,2,"반도체 소자는 스마트폰, 컴퓨터 등 전자 제품 속에서 전기 및 전자 부품과 연결되어 다양한 기능을 구현한다."
물질의 규칙성과 성질,물질의 전기적 성질,반도체 소자는 전기 및 전자 부품을 구성하여 다양한 기능을 구현하는 핵심 부품이다. (O / X),O,X,,,,①,OX형,SUB,FALSE,FALSE,TRUE,FALSE,TRUE,개념 변형,2,"반도체 소자는 스마트폰, 컴퓨터 등 전자 제품 속에서 전기 및 전자 부품과 연결되어 다양한 기능을 구현한다."
물질의 규칙성과 성질,물질의 전기적 성질,다음 중 반도체 소자의 예시로 적절하지 않은 것은?,집적 회로,LED,트랜지스터,건전지,,④,단답형,MAIN,FALSE,TRUE,TRUE,TRUE,TRUE,개념 변형,4,"반도체 소자의 예시로는 반도체 칩으로 만든 집적 회로, 발광 다이오드, 다이오드, 트랜지스터, 마이크로 컨트롤러(MCU) 등이 있다."
물질의 규칙성과 성질,물질의 전기적 성질,"집적 회로, 발광 다이오드, 트랜지스터, 마이크로 컨트롤러를 공통적으로 무엇이라고 부를 수 있는가?",컴퓨터,반도체 소자,결합자,규산염 광물,,②,단답형,MAIN,FALSE,TRUE,TRUE,TRUE,TRUE,개념 변형,4,"반도체 소자의 예시로는 반도체 칩으로 만든 집적 회로, 발광 다이오드, 다이오드, 트랜지스터, 마이크로 컨트롤러(MCU) 등이 있다."
물질의 규칙성과 성질,물질의 전기적 성질,다음 중 반도체 소자의 기능 중 적절하지 않은 것은?,전류 제어,신호 증폭,스위치,핵융합,데이터 저장,④,단답형,SUB,FALSE,FALSE,TRUE,FALSE,FALSE,개념 변형,5,"반도체 소자는 전류 제어, 신호 증폭 및 스위치, 데이터 저장 등 전기적 신호를 처리할 수 있다."
물질의 규칙성과 성질,물질의 전기적 성질,"반도체 소자는 데이터 저장 등 전기적 신호 처리만 가능할 뿐, 전류를 제어하는 것은 불가능하다. (O / X)",O,X,,,,②,OX형,SUB,FALSE,FALSE,TRUE,FALSE,FALSE,개념 변형,2,"반도체 소자는 전류 제어, 신호 증폭 및 스위치, 데이터 저장 등 전기적 신호를 처리할 수 있다."
물질의 규칙성과 성질,물질의 전기적 성질,반도체 소자는 조건에 따라 전기 전도도가 달라지는 특성 때문에 (    )로 이용되기도 한다. 빈칸에 들어갈 말로 가장 적절한 것은?,센서,충전기,발전기,전지,,①,단답형,SUB,FALSE,FALSE,TRUE,FALSE,FALSE,개념 변형,4," 반도체 소자는 조건에 따라 전기 전도도가 달라져 온도, 습도, 압력, 가스, 자외선 등을 감지하는 각종 센서로 이용된다."
물질의 규칙성과 성질,물질의 전기적 성질,"반도체는 온도, 습도 등을 측정하는 센서에 이용될 수 있다. (O / X)",O,X,,,,①,OX형,SUB,FALSE,FALSE,TRUE,FALSE,FALSE,개념 변형,2," 반도체 소자는 조건에 따라 전기 전도도가 달라져 온도, 습도, 압력, 가스, 자외선 등을 감지하는 각종 센서로 이용된다."
,,,,,,,,,,,,,,,,,0,#REF!
,,,,,,,,,,,,,,,,,0,#REF!
,,,,,,,,,,,,,,,,,0,#REF!
,,,,,,,,,,,,,,,,,0,#REF!
,,,,,,,,,,,,,,,,,0,#REF!
,,,,,,,,,,,,,,,,,0,#REF!
,,,,,,,,,,,,,,,,,0,#REF!
,,,,,,,,,,,,,,,,,0,#REF!
,,,,,,,,,,,,,,,,,0,#REF!
,,,,,,,,,,,,,,,,,0,#REF!
,,,,,,,,,,,,,,,,,0,#REF!
,,,,,,,,,,,,,,,,,0,#REF!
,,,,,,,,,,,,,,,,,0,#REF!
,,,,,,,,,,,,,,,,,0,#REF!
,,,,,,,,,,,,,,,,,0,#REF!
지구시스템,지구시스템의 구성 요소,"(     )은(는) 여러 구성 요소가 모여 상호 작용하면서 균형을 유지하는 체계이다.
빈칸에 들어갈 말로 가장 적절한 것은?",조직,네트워크,시스템,집단,구조,③,단답형,MAIN,FALSE,TRUE,TRUE,TRUE,TRUE,개념 호출,5,시스템은 여러 구성 요소가 모여 상호작용 하면서 균형을 유지하는 체계이다.
지구시스템,지구시스템의 구성 요소,시스템에서는 여러 구성 요소가 균형을 유지하고 있다. (O / X),O,X,,,,①,OX형,MAIN,FALSE,TRUE,TRUE,TRUE,TRUE,개념 호출,2,시스템은 여러 구성 요소가 모여 상호작용 하면서 균형을 유지하는 체계이다.
,,,,,,,,,,,,,,,,,0,#REF!
지구시스템,지구시스템의 구성 요소,"태양과 태양 주위를 공전하는 천체 및 이들이 차지하는 공간을 (       )(이)라고 한다.
빈칸에 들어갈 말로 가장 적절한 것은?",행성계,태양계,은하,성운,우주,②,단답형,SUB,FALSE,TRUE,FALSE,FALSE,FALSE,개념 호출,5,태양과 태양 주위를 공전하는 천체 및 이들이 차지하는 공간을 태양계라고 한다.
지구시스템,지구시스템의 구성 요소,태양계는 태양 주위를 공전하는 천체는 포함하지 않는다. (O / X),O,X,,,,②,OX형,SUB,FALSE,TRUE,FALSE,FALSE,FALSE,개념 변형,2,태양과 태양 주위를 공전하는 천체 및 이들이 차지하는 공간을 태양계라고 한다.
지구시스템,지구시스템의 구성 요소,다음 중 태양계의 구성 요소가 아닌 것을 고르시오.,위성,왜소 행성,혜성,은하,소행성,④,단답형,MAIN,TRUE,FALSE,TRUE,TRUE,TRUE,개념 적용,5,"태양계는 태양, 8개의 행성, 위성, 왜소 행성, 소행성, 혜성 등으로 이루어져 있다."
지구시스템,지구시스템의 구성 요소,혜성은 태양계를 구성하고 있는 천체이다. (O / X),O,X,,,,①,OX형,MAIN,TRUE,FALSE,TRUE,TRUE,TRUE,개념 변형,2,"태양계는 태양, 8개의 행성, 위성, 왜소 행성, 소행성, 혜성 등으로 이루어져 있다."
지구시스템,지구시스템의 구성 요소,왜소 행성은 태양계를 구성하고 있는 천체이다. (O / X),O,X,,,,①,OX형,MAIN,TRUE,FALSE,TRUE,TRUE,TRUE,개념 변형,2,"태양계는 태양, 8개의 행성, 위성, 왜소 행성, 소행성, 혜성 등으로 이루어져 있다."
지구시스템,지구시스템의 구성 요소,"태양계를 구성하는 천체들은 태양의 (  ㉠  )에 의해 태양을 중심으로 일정한 궤도를 따라 공전하면서 서로 영향을 주고받는다.
㉠에 들어갈 말로 적절한 것은?",마찰력,원심력,자기력,관성력,중력,⑤,단답형,MAIN,TRUE,TRUE,FALSE,FALSE,TRUE,개념 호출,5,태양계를 구성하는 천체들은 태양의 중력에 의해 태양을 중심으로 일정한 궤도를 따라 공전하면서 서로 영향을 주고받는다.
지구시스템,지구시스템의 구성 요소,"태양계를 구성하는 천체들은 서로 영향을 미치지 않으며, 독립적으로 공전한다. (O / X)",O,X,,,,②,OX형,MAIN,TRUE,TRUE,FALSE,FALSE,TRUE,개념 변형,2,태양계를 구성하는 천체들은 태양의 중력에 의해 태양을 중심으로 일정한 궤도를 따라 공전하면서 서로 영향을 주고받는다.
지구시스템,지구시스템의 구성 요소,"태양계를 구성하는 천체들은 서로 상호작용하며 하나의 (        )을(를) 이루고 있다.
빈칸에 들어갈 말로 가장 적절한 것은?",네트워크,시스템,집단,조직,공동체,②,단답형,MAIN,FALSE,TRUE,FALSE,TRUE,TRUE,개념 호출,5,태양계를 구성하는 천체들은 서로 상호작용하며 하나의 시스템을 이루고 있다.
지구시스템,지구시스템의 구성 요소,태양계는 시스템에 해당한다. (O / X),O,X,,,,①,OX형,MAIN,FALSE,TRUE,FALSE,TRUE,TRUE,개념 변형,2,태양계를 구성하는 천체들은 서로 상호작용하며 하나의 시스템을 이루고 있다.
지구시스템,지구시스템의 구성 요소,"지구는 태양계에 속한 8개의 (        ) 중 하나이다.
빈칸에 들어갈 말로 적절한 것은?",소행성,왜소 행성,행성,혜성,위성,③,단답형,MAIN,TRUE,TRUE,TRUE,TRUE,TRUE,개념 호출,5,"지구는 태양계에 속한 8 개의 행성 중 하나이며, 태양 및 다른 천체들과 서로 영향을 주고받는 태양계 시스템의 구성 요소 중 하나이다. "
지구시스템,지구시스템의 구성 요소,지구는 태양계 시스템의 구성 요소 중 하나에 해당한다. (O / X),O,X,,,,①,OX형,MAIN,TRUE,TRUE,TRUE,TRUE,TRUE,개념 변형,2,"지구는 태양계에 속한 8 개의 행성 중 하나이며, 태양 및 다른 천체들과 서로 영향을 주고받는 태양계 시스템의 구성 요소 중 하나이다. "
지구시스템,지구시스템의 구성 요소,"태양계에서 가장 큰 영향을 미치는 천체는 바로 (  ㉠  )(이)다.
㉠에 들어갈 말로 적절한 것은?",지구,달,목성,태양,소행성,④,단답형,SUB,FALSE,FALSE,FALSE,FALSE,TRUE,개념 호출,5,태양계에서 가장 큰 영향을 미치는 천체는 바로 태양이다.
지구시스템,지구시스템의 구성 요소,태양계에서 가장 큰 영향을 미치는 천체는 지구이다. (O / X),O,X,,,,②,OX형,SUB,FALSE,FALSE,FALSE,FALSE,TRUE,개념 호출,2,태양계에서 가장 큰 영향을 미치는 천체는 바로 태양이다.
지구시스템,지구시스템의 구성 요소,지구는 태양계 내에서 유일하게 수많은 생명체가 살아가고 있는 행성이다.,O,X,,,,①,OX형,SUB,FALSE,TRUE,FALSE,FALSE,FALSE,개념 호출,2,지구는 태양계 내에서 유일하게 인간을 비롯해 수많은 생명체가 살아가고 있는 행성이다.
지구시스템,지구시스템의 구성 요소,태양계 내에서 지구 이외에도 많은 생명체가 살아가는 행성이 존재한다.,O,X,,,,②,OX형,SUB,FALSE,TRUE,FALSE,FALSE,FALSE,개념 변형,2,지구는 태양계 내에서 유일하게 인간을 비롯해 수많은 생명체가 살아가고 있는 행성이다.
지구시스템,지구시스템의 구성 요소,"지구는 (  ㉠  )(으)로 이루어진 행성이다.
㉠에 들어갈 말로 가장 적절한 것은?",암석,기체,얼음,금속,먼지,①,단답형,SUB,FALSE,FALSE,FALSE,TRUE,FALSE,개념 호출,5,지구는 암석으로 이루어진 행성이다.
지구시스템,지구시스템의 구성 요소,지구는 주로 암석으로 이루어진 행성이다. (O / X),O,X,,,,①,OX형,SUB,FALSE,FALSE,FALSE,TRUE,FALSE,개념 호출,2,지구는 암석으로 이루어진 행성이다.
지구시스템,지구시스템의 구성 요소,"지구는 태양계의 구성 요소이면서 지구 자체로도 하나의 (         )(이)다.
빈칸에 들어갈 말로 가장 적절한 것은?",조직,네트워크,집단,공동체,시스템,⑤,단답형,MAIN,TRUE,TRUE,TRUE,FALSE,TRUE,개념 호출,5,지구는 태양계의 구성 요소이면서 지구 자체로도 하나의 시스템이다.
지구시스템,지구시스템의 구성 요소,지구는 태양계의 구성 요소이지만 지구 자체로는 하나의 시스템이 아니다. (O / X),O,X,,,,②,OX형,MAIN,TRUE,TRUE,TRUE,FALSE,TRUE,개념 호출,2,지구는 태양계의 구성 요소이면서 지구 자체로도 하나의 시스템이다.
,,,,,,,,,,,,,,,,,0,#REF!
지구시스템,지구시스템의 구성 요소,"지구는 (  ㉠  ) 주위를 공전하며 (  ㉠  )에서 방출하는 에너지를 흡수하고 다시 방출하면서 끊임없이 (  ㉠  )와(과) 상호작용한다.
㉠에 들어갈 말로 적절한 것은?",달,태양,위성,성운,소행성,②,단답형,SUB,FALSE,FALSE,FALSE,TRUE,FALSE,개념 호출,5,지구는 태양 주위를 공전하며 태양에서 방출하는 에너지를 흡수하고 다시 방출하면서 끊임없이 태양과 상호작용한다.
지구시스템,지구시스템의 구성 요소,"지구는 태양 주위를 공전하며 태양에서 방출하는 (       )을(를) 흡수하고 다시 방출하면서 끊임없이 태양과 상호작용한다.
빈칸에 들어갈 말로 가장 적절한 것은?",자기장,먼지,에너지,,,③,단답형,SUB,FALSE,FALSE,FALSE,TRUE,FALSE,개념 호출,3,지구는 태양 주위를 공전하며 태양에서 방출하는 에너지를 흡수하고 다시 방출하면서 끊임없이 태양과 상호작용한다.
지구시스템,지구시스템의 구성 요소,"지구는 태양과 상호작용하며, 태양에서 방출하는 에너지를 흡수하지만 다시 방출하지는 않는다. (O / X)",O,X,,,,②,OX형,SUB,FALSE,FALSE,FALSE,TRUE,FALSE,개념 호출,2,지구는 태양 주위를 공전하며 태양에서 방출하는 에너지를 흡수하고 다시 방출하면서 끊임없이 태양과 상호작용한다.
지구시스템,지구시스템의 구성 요소,"우리가 느끼는 계절의 변화는          ㉠           태양 주위를 돌기 때문에 발생한다.
㉠에 들어갈 것으로 가장 적절한 것은?",지구가 타원형 궤도로,지구가 태양보다 느린 속도로,지구가 자전축이 기울어진 상태로,지구가 일정한 속도로,지구가 달과 함께,③,서술형,SUB,FALSE,FALSE,FALSE,FALSE,TRUE,개념 변형,5,"우리가 느끼는 계절의 변화, 낮과 밤의 교대 같은 시간의 흐름은 지구가 자전축이 기울어진 상태로 태양 주위를 돌며 동시에 자전하기 때문에 발생한다."
지구시스템,지구시스템의 구성 요소,다음 중 지구 자전축이 기울어져 있기 때문에 나타나는 현상으로 알맞은 것을 고르시오.,일식과 월식,계절의 변화,달의 위상 변화,지구 자기장의 형성,지구의 공전 속도 변화,②,단답형,SUB,FALSE,FALSE,FALSE,FALSE,TRUE,개념 적용,5,"우리가 느끼는 계절의 변화, 낮과 밤의 교대 같은 시간의 흐름은 지구가 자전축이 기울어진 상태로 태양 주위를 돌며 동시에 자전하기 때문에 발생한다."
지구시스템,지구시스템의 구성 요소,"(    ㉠    )은(는) 다양한 기상 현상과 식물의 광합성 등 지구시스템에서 발생하는 대부분의 자연 현상을 일으킨다.
㉠에 들어갈 말로 가장 적절한 것은?",지구 에너지,중력 에너지,역학적 에너지,태양 에너지,운동 에너지,④,단답형,SUB,FALSE,FALSE,FALSE,FALSE,TRUE,개념 호출,5,태양 에너지는 다양한 기상 현상과 식물의 광합성 등 지구시스템에서 발생하는 대부분의 자연 현상을 일으킨다.
지구시스템,지구시스템의 구성 요소,지구시스템에서 발생하는 대부분의 자연 현상을 일으키는 것은 태양 에너지이다. (O / X),O,X,,,,①,OX형,SUB,FALSE,FALSE,FALSE,FALSE,TRUE,개념 변형,2,태양 에너지는 다양한 기상 현상과 식물의 광합성 등 지구시스템에서 발생하는 대부분의 자연 현상을 일으킨다.
,,,,,,,,,,,,,,,,,0,#REF!
지구시스템,지구시스템의 구성 요소,"행성에 생명체가 존재하기 위해서는 주변에 안정적으로 (        )을(를) 공급해 주는 별이 있어야 한다.
빈칸에 들어갈 말로 가장 적절한 것은?",산소,중력,자기장,물,에너지,⑤,단답형,SUB,FALSE,TRUE,FALSE,FALSE,FALSE,개념 호출,5,행성에 생명체가 존재하기 위해서는 주변에 안정적으로 에너지를 공급해 주는 별이 있어야 한다.
지구시스템,지구시스템의 구성 요소,"행성에 생명체가 존재하기 위해서는 주변에 안정적으로 에너지를 공급해 주는 (     )이(가) 있어야 한다.
빈칸에 들어갈 말로 가장 적절한 것은?",은하,별,성운,위성,혜성,②,단답형,SUB,FALSE,TRUE,FALSE,FALSE,FALSE,개념 호출,5,행성에 생명체가 존재하기 위해서는 주변에 안정적으로 에너지를 공급해 주는 별이 있어야 한다.
지구시스템,지구시스템의 구성 요소,"행성에 생명체가 존재하기 위해서는 (   ㉠   ) 상태의 물이 있어야 한다.
㉠에 들어갈 말로 가장 적절한 것은?",고체,액체,기체,수증기,얼음,②,단답형,SUB,FALSE,TRUE,TRUE,FALSE,FALSE,개념 호출,5,행성에 생명체가 존재하기 위해서는 액체 상태의 물이 있어야 한다.
지구시스템,지구시스템의 구성 요소,"행성에 생명체가 존재하기 위해서는 액체 상태의 (    )이(가) 있어야 한다.
빈칸에 들어갈 말로 가장 적절한 것은?",산소,이산화 탄소,물,철,탄소,③,단답형,SUB,FALSE,TRUE,TRUE,FALSE,FALSE,개념 호출,5,행성에 생명체가 존재하기 위해서는 액체 상태의 물이 있어야 한다.
지구시스템,지구시스템의 구성 요소,"(       )은(는) 약 50억 년 전에 탄생해 현재까지 지구에 안정적으로 에너지를 공급해 주고 있다.
빈칸에 들어갈 말로 가장 적절한 것은?",달,목성,북극성,태양,금성,④,단답형,SUB,FALSE,TRUE,FALSE,FALSE,FALSE,개념 호출,5,태양은 약 50억 년 전에 탄생해 현재까지 지구에 안정적으로 에너지를 공급해 주고 있다.
지구시스템,지구시스템의 구성 요소,"태양은 약 (       )억 년 전에 탄생해 현재까지 지구에 안정적으로 에너지를 공급해 주고 있다.
빈칸에 들어갈 숫자로 알맞은 것을 고르시오.",1,10,50,100,500,③,단답형,SUB,FALSE,TRUE,FALSE,FALSE,FALSE,개념 호출,5,태양은 약 50억 년 전에 탄생해 현재까지 지구에 안정적으로 에너지를 공급해 주고 있다.
지구시스템,지구시스템의 구성 요소,"지구는 다른 행성과 달리 태양으로부터 적당한 거리에 있어 표면에 풍부한 (고체/액체/기체) 상태의 물이 있고 바다가 존재한다.
㉠에 들어갈 말로 가장 적절한 것은?",고체,액체,기체,,,②,단답형,MAIN,FALSE,TRUE,TRUE,TRUE,TRUE,개념 호출,3,지구는 다른 행성과 달리 태양으로부터 적당한 거리에 있어 표면에 풍부한 액체 상태의 물이 있고 바다가 존재한다.
지구시스템,지구시스템의 구성 요소,"지구는 다른 행성과 달리 태양으로부터 적당한 거리에 있어 표면에 풍부한 액체 상태의 (    )이(가) 있고 바다가 존재한다.
빈칸에 들어갈 말로 가장 적절한 것은?",산소,탄소,이산화 탄소,물,철,④,단답형,MAIN,FALSE,TRUE,TRUE,TRUE,TRUE,개념 호출,5,지구는 다른 행성과 달리 태양으로부터 적당한 거리에 있어 표면에 풍부한 액체 상태의 물이 있고 바다가 존재한다.
지구시스템,지구시스템의 구성 요소,지구에는 생명활동에 필요한 대기가 존재한다. (O / X),O,X,,,,①,OX형,SUB,FALSE,TRUE,FALSE,TRUE,FALSE,개념 호출,2,지구는 생명활동에 필요한 대기가 존재한다.
지구시스템,지구시스템의 구성 요소,대기가 없어도 지구에서 생명활동이 일어날 수 있다. (O / X),O,X,,,,②,OX형,SUB,FALSE,TRUE,FALSE,TRUE,FALSE,개념 변형,2,지구는 생명활동에 필요한 대기가 존재한다.
지구시스템,지구시스템의 구성 요소,지구에는 생명활동에 필요한 자기장이 존재한다. (O / X),O,X,,,,①,OX형,SUB,FALSE,FALSE,FALSE,TRUE,FALSE,개념 호출,2,지구는 생명활동에 필요한 자기장이 존재한다.
지구시스템,지구시스템의 구성 요소,지구 자기장은 생명활동이 일어나기 위해서 필요하지는 않다. (O / X),O,X,,,,②,OX형,SUB,FALSE,FALSE,FALSE,TRUE,FALSE,개념 호출,2,지구는 생명활동에 필요한 자기장이 존재한다.
,,,,,,,,,,,,,,,,,0,#REF!
지구시스템,지구시스템의 구성 요소,"(        )은(는) 지구를 구성하는 요소들이 서로 영향을 주고받으며 이루는 시스템이다.
빈칸에 들어갈 말로 가장 적절한 것은?",태양계 시스템,행성 시스템,생태계,지구 시스템,우주 시스템,④,단답형,MAIN,TRUE,TRUE,FALSE,TRUE,TRUE,개념 호출,5,지구 시스템(지구계)는 지구를 구성하는 요소들이 서로 영향을 주고받으며 이루는 시스템이다.
지구시스템,지구시스템의 구성 요소,(태양계 시스템/지구 시스템)은 지구를 구성하는 요소들이 서로 영향을 주고받으며 이루는 시스템이다.,태양계 시스템,지구 시스템,,,,②,단답형,MAIN,TRUE,TRUE,FALSE,TRUE,TRUE,개념 호출,2,지구 시스템(지구계)는 지구를 구성하는 요소들이 서로 영향을 주고받으며 이루는 시스템이다.
지구시스템,지구시스템의 구성 요소,"지구 시스템은         ㉠         , 외권으로 이루어져 있다.
㉠에 들어갈 말로 알맞은 것은?","기권, 수권","기권, 지권","기권, 수권, 생물권, 암석권","기권, 수권, 지권, 열권","기권, 수권, 지권, 생물권",⑤,서술형,MAIN,TRUE,TRUE,TRUE,TRUE,TRUE,개념 호출,5,"지구 시스템은 기권, 수권, 지권, 생물권, 외권으로 이루어져 있다."
